OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2026-05-16T14:43:35.196384,15.46757537,.00021921,53.1536,219.4482,24.7054,335.4058,0,U,44714,999,35932,.27272396E-3,.13466E-3,0
STARLINK-1012,2019-074F,2026-05-16T14:45:30.847104,15.46963719,.00019367,53.1584,219.7546,19.4809,340.6273,0,U,44718,999,35931,.29292569E-3,.14603E-3,0
STARLINK-1017,2019-074L,2026-05-15T15:02:43.768608,15.29718169,.00043383,53.0493,221.2279,320.9374,39.1311,0,U,44723,999,35919,.88427654E-3,.2554E-3,0
STARLINK-1020,2019-074N,2026-05-16T13:54:47.965248,15.51363604,.00024249,53.1597,244.7726,8.3587,351.7462,0,U,44725,999,35894,.75093413E-3,.4472E-3,0
STARLINK-1036,2019-074AE,2026-05-16T14:36:12.792096,15.66893444,.00023698,53.0424,216.4797,287.9152,72.1605,0,U,44741,999,35934,.40501366E-3,.4339E-3,0
STARLINK-1039,2019-074AH,2026-05-16T09:36:50.696064,15.27082584,.00019891,53.0634,262.5587,353.6948,6.4025,0,U,44744,999,35868,.13183233E-2,.35312E-3,0
STARLINK-1042,2019-074AL,2026-05-16T08:26:36.130848,15.53026721,.00033064,53.0406,129.2903,38.7549,321.3697,0,U,44747,999,36057,.34163504E-3,.21289E-3,0
STARLINK-1043,2019-074AM,2026-05-15T23:19:45.188256,15.58312742,.00021761,53.0499,228.7403,320.3642,39.7210,0,U,44748,999,35912,.41646648E-3,.31781E-3,0
STARLINK-1046,2019-074AQ,2026-05-16T14:24:35.818848,15.52325997,.00056027,53.0484,246.0327,357.9906,2.1080,0,U,44751,999,35893,.7459819E-3,.46024E-3,0
STARLINK-1047,2019-074AR,2026-05-16T09:56:04.816896,15.33975931,.00035277,53.0682,189.2576,72.9707,287.1681,0,U,44752,999,35973,.2128817E-3,.6728E-4,0
STARLINK-1048,2019-074AS,2026-05-16T10:45:06.149376,15.65044715,.00061876,53.0444,198.9712,345.3668,14.7167,0,U,44753,999,35957,.42555865E-3,.42355E-3,0
STARLINK-1063,2019-074BH,2026-05-16T15:01:16.218624,15.46719675,.000061,53.1570,260.4007,40.7687,319.3367,0,U,44768,999,35876,.71101847E-3,.35862E-3,0
STARLINK-1067,2019-074BL,2026-05-16T12:58:47.297280,15.71418471,.00058405,53.0435,231.4769,304.9479,55.0989,0,U,44771,999,35913,.49054615E-3,.63773E-3,0
STARLINK-1068,2019-074BM,2026-05-16T14:52:16.353408,15.72243963,.00020678,53.0438,204.8606,58.1971,301.9248,0,U,44772,999,35950,.43203706E-3,.58017E-3,0
STARLINK-1114,2020-001P,2026-05-16T14:55:57.820800,15.61907731,.00011092,53.0434,0.2713,62.3925,297.7201,0,U,44927,999,35067,.65227246E-3,.57672E-3,0
STARLINK-1123,2020-001S,2026-05-16T13:17:19.531392,15.54558536,.00025009,53.1469,26.1170,179.3474,180.7541,0,U,44930,999,35031,.66528041E-3,.44449E-3,0
STARLINK-1094,2020-001AD,2026-05-16T14:14:37.099680,15.51290853,.00017638,53.1549,0.3888,215.2793,144.8100,0,U,44941,999,35068,.4358086E-3,.25628E-3,0
STARLINK-1122,2020-001AM,2026-05-16T08:12:59.510880,15.51066381,.00014604,53.1582,2.1455,208.0518,152.0413,0,U,44949,999,35063,.11225539E-2,.66551E-3,0
STARLINK-1080,2020-001AZ,2026-05-15T22:22:45.872832,15.58283900,.00021387,53.0464,324.0792,287.1601,72.9176,0,U,44961,999,35112,.10905278E-2,.845E-3,0
STARLINK-1090,2020-001BG,2026-05-16T14:23:46.079232,15.47608626,.000106,53.1509,348.0753,178.4419,181.6593,0,U,44968,999,35085,.64977606E-3,.3376E-3,0
STARLINK-1132,2020-006A,2026-05-14T17:10:00.812352,15.52298414,.00005725,53.1525,298.9638,128.0163,232.0899,0,U,45044,999,34715,.80698164E-3,.49771E-3,0
STARLINK-1131,2020-006D,2026-05-16T05:29:19.281696,15.49366836,.0000534,53.1580,324.0017,206.2406,153.8576,0,U,45047,999,34693,.10213408E-2,.56885E-3,0
STARLINK-1134,2020-006E,2026-05-16T09:47:22.888320,15.53250153,.00056047,53.0276,274.0940,7.2025,352.9064,0,U,45048,999,34763,.16891735E-2,.10925E-2,0
STARLINK-1156,2020-006L,2026-05-15T22:21:40.398048,15.33029749,.00014909,53.1598,328.2816,261.7813,98.3020,0,U,45054,999,34684,.12977184E-2,.4185E-3,0
STARLINK-1166,2020-006S,2026-05-16T13:41:11.858496,15.55783516,.00013024,53.0470,306.5977,261.0473,99.0390,0,U,45060,999,34719,.77828154E-3,.54566E-3,0
STARLINK-1169,2020-006T,2026-05-16T12:47:44.408832,15.36099737,.00032208,53.1562,324.5622,208.5932,151.4896,0,U,45061,999,34695,.10704898E-2,.38E-3,0
STARLINK-1171,2020-006U,2026-05-16T10:02:31.488000,15.71403579,.00016931,53.0403,275.7459,221.3199,138.7690,0,U,45062,999,34761,.48999065E-3,.6361E-3,0
STARLINK-1133,2020-006W,2026-05-16T11:44:53.531808,15.33158396,.00017654,53.1573,302.4613,280.8015,79.2788,0,U,45064,999,34726,.1311212E-2,.42466E-3,0
STARLINK-1167,2020-006AD,2026-05-15T20:59:14.767872,15.35271277,.000255,53.1584,304.7692,202.7439,157.3967,0,U,45071,999,34717,.82055E-3,.28562E-3,0
